ClbQ_vina_results,,,,ClbP_vina_results,,
Compound,531.pdbqt_log.txt:,-8.99,,Compound,133.pdbqt_log.log.txt:,-9.043
Compound,268.pdbqt_log.txt:,-8.977,,Compound,135.pdbqt_log.log.txt:,-9.037
Compound,61.pdbqt_log.txt:,-8.974,,Compound,519.pdbqt_log.log.txt:,-9.021
Compound,258.pdbqt_log.txt:,-8.973,,Compound,302.pdbqt_log.log.txt:,-9.018
Compound,163.pdbqt_log.txt:,-8.971,,Compound,254.pdbqt_log.log.txt:,-9.013
Pinobanksin.pdbqt_log.txt:,,-8.961,,Compound,61.pdbqt_log.log.txt:,-9
Compound,33.pdbqt_log.txt:,-8.958,,Compound,420.pdbqt_log.log.txt:,-8.991
Compound,1.pdbqt_log.txt:,-8.957,,Compound,491.pdbqt_log.log.txt:,-8.99
Mosloflavon.pdbqt_log.txt:,,-8.95,,Compound,3.pdbqt_log.log.txt:,-8.983
Compound,132.pdbqt_log.txt:,-8.946,,Compound,234.pdbqt_log.log.txt:,-8.977
Compound,106.pdbqt_log.txt:,-8.941,,Compound,258.pdbqt_log.log.txt:,-8.977
Compound,102.pdbqt_log.txt:,-8.941,,Compound,122.pdbqt_log.log.txt:,-8.959
Compound,46.pdbqt_log.txt:,-8.936,,Compound,163.pdbqt_log.log.txt:,-8.956
Compound,77.pdbqt_log.txt:,-8.931,,Compound,219.pdbqt_log.log.txt:,-8.95
Compound,34.pdbqt_log.txt:,-8.929,,Compound,37.pdbqt_log.log.txt:,-8.94
Compound,130.pdbqt_log.txt:,-8.924,,Compound,311.pdbqt_log.log.txt:,-8.927
Compound,482.pdbqt_log.txt:,-8.921,,Compound,77.pdbqt_log.log.txt:,-8.915
Compound,37.pdbqt_log.txt:,-8.92,,Compound,437.pdbqt_log.log.txt:,-8.897
Compound,322.pdbqt_log.txt:,-8.913,,Compound,170.pdbqt_log.log.txt:,-8.897
Acacetin.pdbqt_log.txt:,,-8.904,,Compound,408.pdbqt_log.log.txt:,-8.891
Compound,75.pdbqt_log.txt:,-8.901,,Compound,494.pdbqt_log.log.txt:,-8.886
Compound,551.pdbqt_log.txt:,-8.874,,Compound,377.pdbqt_log.log.txt:,-8.884
Compound,216.pdbqt_log.txt:,-8.871,,Compound,393.pdbqt_log.log.txt:,-8.881
Compound,131.pdbqt_log.txt:,-8.864,,Compound,504.pdbqt_log.log.txt:,-8.874
Compound,98.pdbqt_log.txt:,-8.856,,Compound,289.pdbqt_log.log.txt:,-8.871
Compound,252.pdbqt_log.txt:,-8.855,,Pinobanksin.pdbqt_log.log.txt:,,-8.86
Compound,310.pdbqt_log.txt:,-8.843,,Compound,151.pdbqt_log.log.txt:,-8.859
Compound,21.pdbqt_log.txt:,-8.838,,Compound,2.pdbqt_log.log.txt:,-8.856
Compound,27.pdbqt_log.txt:,-8.825,,Compound,129.pdbqt_log.log.txt:,-8.853
Compound,116.pdbqt_log.txt:,-8.821,,Compound,211.pdbqt_log.log.txt:,-8.853
Compound,222.pdbqt_log.txt:,-8.82,,Formononetin.pdbqt_log.log.txt:,,-8.85
Compound,8.pdbqt_log.txt:,-8.815,,Compound,227.pdbqt_log.log.txt:,-8.849
Compound,289.pdbqt_log.txt:,-8.813,,Compound,500.pdbqt_log.log.txt:,-8.845
Compound,195.pdbqt_log.txt:,-8.807,,Acacetin.pdbqt_log.log.txt:,,-8.836
